mdi_i,year,month,day,hour,minute,second,intf_n,intfc_n,unsflux_n,sflux_n,posflux_n,negflux_n,vnpc_pxn,visarea_n,max_pxflux_n,max_pxf_n,max_pxfc_n,n_swt,intf_s,intfc_s,unsflux_s,sflux_s,posflux_s,negflux_s,vnpc_pxs,visarea_s,max_pxflux_s,max_pxf_s,max_pxfc_s,s_swt
2449,1976,9,14,23,35,59,0.00313157,1.74508,2.14E+22,5.51E+20,1.10E+22,-1.04E+22,71503,1.06E+21,6.00E+18,59.7928,205.773,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2450,1976,9,15,15,43,21,-3.78676,-3.28246,2.73E+22,-6.22E+21,1.05E+22,-1.67E+22,74573,1.11E+21,2.65E+19,220.506,824.546,0,-14.9077,-26.8972,7.37E+21,-6.92E+21,2.29E+20,-7.14E+21,12053,2.18E+20,1.00E+19,131.883,111.245,0
2451,1976,9,16,15,32,39,-0.282469,0.316597,1.90E+22,-1.01E+21,8.99E+21,-1.00E+22,69870,1.01E+21,6.57E+18,157.393,257.199,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2452,1976,9,17,18,39,3,-0.892839,-1.57525,2.11E+22,-2.52E+21,9.29E+21,-1.18E+22,69631,1.06E+21,9.81E+18,103.992,228.592,0,-2.8851,-2.93165,3.46E+21,-5.28E+20,1.47E+21,-2.00E+21,8543,1.81E+20,9.15E+18,163.399,258.24,0
2453,1976,9,18,16,48,9,1.28327,2.87077,1.23E+22,1.72E+21,7.02E+21,-5.31E+21,51417,6.71E+20,3.56E+18,75.3769,187.806,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2454,1976,9,19,16,18,20,-1.41527,-3.96903,1.20E+22,-2.75E+21,4.64E+21,-7.39E+21,47363,5.98E+20,3.31E+18,61.7711,155.718,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2455,1976,9,20,18,31,32,-1.48922,-2.6088,2.91E+22,-4.11E+21,1.25E+22,-1.66E+22,72238,1.10E+21,1.24E+19,138.382,250.422,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2456,1976,9,21,18,52,58,2.47891,6.95093,3.14E+22,8.28E+21,1.98E+22,-1.16E+22,72816,1.21E+21,1.02E+19,73.8531,321.545,0,13.3822,47.9475,3.75E+22,1.15E+22,2.45E+22,-1.30E+22,12337,2.93E+20,1.50E+20,989.359,5174.75,0
2457,1976,9,22,15,12,20,-0.678885,-1.05003,2.95E+22,-1.69E+21,1.39E+22,-1.56E+22,70729,1.06E+21,1.07E+19,131.948,277.819,0,-3.92179,-1.62521,5.58E+21,-4.46E+20,2.57E+21,-3.01E+21,12058,2.03E+20,7.85E+18,57.0654,239.576,0
2461,1976,9,26,17,50,48,-6.47522,-15.0661,2.60E+22,-1.25E+22,6.74E+21,-1.93E+22,59623,7.88E+20,2.69E+19,477.375,1269.87,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2463,1976,9,28,18,17,3,1.00801,2.39172,1.58E+22,1.12E+21,8.47E+21,-7.35E+21,60360,8.50E+20,4.84E+18,52.9646,124.417,0,-4.827,-13.0981,1.88E+21,-1.07E+21,4.06E+20,-1.48E+21,4356,8.12E+19,2.90E+18,20.08,74.9092,0
2464,1976,9,29,18,47,55,0.0832354,1.71321,2.21E+22,6.21E+20,1.13E+22,-1.07E+22,70058,1.08E+21,6.90E+18,101.306,199.05,0,-7.51876,-8.28953,6.03E+21,-2.47E+21,1.78E+21,-4.25E+21,13462,2.47E+20,5.23E+18,54.8814,124.65,0
2465,1976,9,30,14,36,37,0.0347614,1.65563,2.10E+22,1.04E+21,1.10E+22,-1.00E+22,68184,9.97E+20,1.14E+19,151.031,494.824,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2470,1976,10,5,14,39,27,0.394683,3.80324,2.72E+22,3.74E+21,1.55E+22,-1.17E+22,74647,1.21E+21,1.61E+19,141.968,219.891,0,-5.3316,-7.43922,9.37E+21,-3.40E+21,2.98E+21,-6.38E+21,19293,3.81E+20,5.34E+18,53.1851,156.191,0
2471,1976,10,6,14,53,41,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2472,1976,10,7,16,54,45,2.72397,6.27159,5.09E+21,2.14E+21,3.61E+21,-1.48E+21,27692,3.37E+20,1.57E+18,52.4788,124.175,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2473,1976,10,8,18,23,48,2.00409,5.13728,1.05E+22,3.41E+21,6.97E+21,-3.56E+21,47501,6.55E+20,2.33E+18,90.063,184.596,0,-2.32213,-7.54375,4.01E+20,-1.74E+20,1.14E+20,-2.88E+20,1327,2.31E+19,1.26E+18,18.9408,59.671,0
2474,1976,10,9,17,37,48,2.89081,7.24346,1.13E+22,4.70E+21,8.01E+21,-3.31E+21,48844,6.59E+20,2.01E+18,64.3099,144.201,0,-2.31545,-7.3937,4.96E+20,-1.97E+20,1.49E+20,-3.47E+20,1604,2.73E+19,1.40E+18,23.7595,79.8229,0
2475,1976,10,10,18,2,30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2476,1976,10,11,15,13,29,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2477,1976,10,12,15,2,41,-0.538089,-0.321655,2.48E+22,-1.99E+21,1.14E+22,-1.34E+22,69516,1.14E+21,7.21E+18,78.0182,199.161,0,-4.88677,-7.40833,8.26E+21,-2.98E+21,2.64E+21,-5.62E+21,18228,3.69E+20,4.59E+18,97.829,146.001,0
2478,1976,10,13,16,27,58,-1.00808,-2.73627,1.54E+22,-1.82E+21,6.81E+21,-8.63E+21,44979,6.25E+20,3.00E+18,56.8174,169.779,0,2.40985,7.72283,5.84E+20,2.12E+20,3.98E+20,-1.86E+20,1594,2.76E+19,1.51E+18,26.2605,85.8314,0
2479,1976,10,14,18,45,23,0.483027,1.14526,8.14E+21,5.19E+20,4.33E+21,-3.81E+21,35057,4.62E+20,2.08E+18,51.4444,136.847,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2480,1976,10,15,18,54,11,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2481,1976,10,16,16,49,56,1.70741,4.17531,7.15E+21,1.73E+21,4.44E+21,-2.71E+21,31879,4.03E+20,1.92E+18,61.1379,130.723,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
2482,1976,10,17,21,39,33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2
